gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,year,taxonKey,speciesKey
1456709479,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1353501,
1456702574,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cuneilabris,SPECIES,"Andrena cuneilabris Viereck, 1926",Redwood National Park,California,1,41.2287,-123.9757,2011,1356932,1356932
1456712123,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita elegans,SPECIES,"Perdita elegans Timberlake, 1960",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356290,1356290
1456702736,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cuneilabris,SPECIES,"Andrena cuneilabris Viereck, 1926",Redwood National Park,California,1,41.2287,-123.9757,2011,1356932,1356932
1456706918,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0312,-118.8105,2011,1341976,1341976
1456707158,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0312,-118.8105,2011,5042846,
1456707322,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Samo,California,1,34.0312,-118.8105,2011,1353501,
1456708115,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.1495,-118.9604,2011,1355006,1355006
1456709318,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456709409,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita mohavensis,SPECIES,"Perdita mohavensis Timberlake, 1956",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1356577,1356577
1456712317,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita albonotata,SPECIES,"Perdita albonotata Timberlake, 1954",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1356129,1356129
5067263564,Animalia,Arthropoda,Insecta,,,,,CLASS,Insecta,,California,1,33.6727,-114.5343,2022,216,
5067252637,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",San Dimas Experimental Forest,California,1,34.2025,-116.2607,2013,1341976,1341976
5067257546,Animalia,Arthropoda,Insecta,,,,,CLASS,Insecta,,California,1,33.6727,-114.5343,2022,216,
5067259523,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",San Dimas Experimental Forest,California,1,34.2025,-116.2607,2013,1341976,1341976
5067285411,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",San Joaquin Experimental Forest,California,1,37.0905,-119.7221,2013,1341976,1341976
5067275587,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",San Dimas Experimental Forest,California,1,34.2025,-116.2607,2013,1341976,1341976
1456658211,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Ceratina,Ceratina acantha,SPECIES,"Ceratina acantha Provancher, 1895",Point Reyes National Seashore,California,1,38.0456,-122.8636,2011,5039859,5039859
1456658126,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Ceratina,Ceratina acantha,SPECIES,"Ceratina acantha Provancher, 1895",Point Reyes National Seashore,California,1,38.0456,-122.8636,2011,5039859,5039859
1456688298,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456688398,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456688424,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Mojave National Preserve,California,1,34.8681,-115.7731,2011,1341976,1341976
1456688685,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Chis,California,1,33.9791,-120.0046,2011,1353501,
2459013162,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",San Dimas Experimental Forest,California,1,34.2025,-116.2607,2010,1341976,1341976
1456739818,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,,GENUS,"Lasioglossum Curtis, 1833",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1353501,
1456739912,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Martinapis,Martinapis occidentalis,SPECIES,"Martinapis occidentalis Zavortink & LaBerge, 1976",Mojave National Preserve,California,1,34.8794,-115.7808,2012,1342638,1342638
1456741375,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,SPECIES,"Apis mellifera Linnaeus, 1758",Samo,California,1,34.0773,-119.024,2012,1341976,1341976
4023726938,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Cryptocheilus,Cryptocheilus hesperus,SPECIES,"Cryptocheilus hesperus (Banks, 1915)",Samo,California,1,34.1495,-118.9604,2012,7694813,7694813
1456741600,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.0312,-118.8105,2012,1355006,1355006
1456741660,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Melissodes,Melissodes lupinus,SPECIES,"Melissodes lupinus Cresson, 1879",Samo,California,1,34.0312,-118.8105,2012,5040644,5040644
1456741704,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia coloradensis,SPECIES,"Osmia coloradensis Cresson, 1878",Samo,California,1,34.0312,-118.8105,2012,5039418,5039418
1456742174,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.0312,-118.8105,2012,1355006,1355006
1456702455,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Nomada,,GENUS,"Nomada Scopoli, 1770",Redwood National Park,California,1,41.7654,-124.0352,2011,1343230,
1456702627,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cuneilabris,SPECIES,"Andrena cuneilabris Viereck, 1926",Redwood National Park,California,1,41.2287,-123.9757,2011,1356932,1356932
1456702725,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena nigrocaerulea,SPECIES,"Andrena nigrocaerulea Cockerell, 1897",Redwood National Park,California,1,41.2287,-123.9757,2011,1357272,1357272
1456702730,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum mellipes,SPECIES,"Lasioglossum mellipes (Crawford, 1907)",Redwood National Park,California,1,41.2287,-123.9757,2011,1354697,1354697
1456707183,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon,,GENUS,"Agapostemon Guérin-Méneville, 1844",Samo,California,1,34.0312,-118.8105,2011,5042846,
1456707414,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.1495,-118.9604,2011,1355006,1355006
1456708098,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum incompletum,SPECIES,"Lasioglossum incompletum (Crawford, 1907)",Samo,California,1,34.1495,-118.9604,2011,1355006,1355006
4023727626,Animalia,Arthropoda,Insecta,,,,,CLASS,Insecta,Samo,California,1,34.0312,-118.8105,2011,216,
